index,P,Q,VaR,VaI,VbR,VbI,VcR,VcI
169,45649.22,28.16,202.18,-2.06,-102.97,-180.68,-104.2,176.12
170,45687.27,28.19,202.19,-2.05,-102.97,-180.69,-104.21,176.12
171,45724.66,28.2,202.19,-2.04,-102.96,-180.69,-104.22,176.12
172,45761.37,28.19,202.19,-2.04,-102.96,-180.7,-104.22,176.12
173,45797.41,28.15,202.2,-2.03,-102.96,-180.7,-104.23,176.12
174,45832.74,28.1,202.2,-2.02,-102.95,-180.71,-104.24,176.12
175,45867.37,28.03,202.21,-2.02,-102.95,-180.71,-104.25,176.12
176,45901.29,27.94,202.21,-2.01,-102.95,-180.72,-104.25,176.12
177,45934.47,27.84,202.21,-2.01,-102.94,-180.72,-104.26,176.12
178,45966.92,27.71,202.22,-2.0,-102.94,-180.72,-104.26,176.12
179,45998.62,27.57,202.22,-2.0,-102.93,-180.73,-104.27,176.12
180,46029.58,27.41,202.22,-1.99,-102.93,-180.73,-104.28,176.11
181,46059.77,27.23,202.23,-1.99,-102.93,-180.74,-104.28,176.11
182,46089.19,27.04,202.23,-1.98,-102.92,-180.74,-104.29,176.11
183,46117.85,26.83,202.23,-1.98,-102.92,-180.75,-104.29,176.11
184,46145.72,26.61,202.24,-1.97,-102.92,-180.75,-104.3,176.11
185,46172.81,26.37,202.24,-1.97,-102.92,-180.75,-104.3,176.11
186,46199.12,26.11,202.24,-1.96,-102.91,-180.76,-104.31,176.11
187,46224.63,25.85,202.25,-1.96,-102.91,-180.76,-104.31,176.11
188,46249.35,25.56,202.25,-1.95,-102.91,-180.76,-104.32,176.11
189,46273.27,25.27,202.25,-1.95,-102.9,-180.77,-104.32,176.11
190,46296.4,24.96,202.25,-1.95,-102.9,-180.77,-104.33,176.11
191,46318.72,24.64,202.26,-1.94,-102.9,-180.77,-104.33,176.11
192,46340.24,24.31,202.26,-1.94,-102.9,-180.78,-104.34,176.11
193,46360.96,23.96,202.26,-1.94,-102.89,-180.78,-104.34,176.11
194,46380.88,23.6,202.26,-1.93,-102.89,-180.78,-104.34,176.11
195,46400.0,23.24,202.26,-1.93,-102.89,-180.78,-104.35,176.11
196,46418.31,22.86,202.27,-1.93,-102.89,-180.79,-104.35,176.11
197,46435.83,22.47,202.27,-1.92,-102.89,-180.79,-104.36,176.1
198,46452.55,22.08,202.27,-1.92,-102.88,-180.79,-104.36,176.1
199,46468.47,21.67,202.27,-1.92,-102.88,-180.79,-104.36,176.1
200,46483.6,21.26,202.27,-1.91,-102.88,-180.8,-104.36,176.1
201,46497.94,20.83,202.27,-1.91,-102.88,-180.8,-104.37,176.1
202,46511.5,20.4,202.28,-1.91,-102.88,-180.8,-104.37,176.1
203,46524.27,19.96,202.28,-1.91,-102.88,-180.8,-104.37,176.1
204,46536.27,19.52,202.28,-1.9,-102.88,-180.8,-104.38,176.1
205,46547.5,19.07,202.28,-1.9,-102.87,-180.81,-104.38,176.1
